2018.09.24.21.44.40, PEER_DISCOVERED, 9674209814, 192.168.43.208
2018.09.24.21.44.41, SUMMARY_VECTOR_RECEIVED, 17003
2018.09.24.21.44.46, CHECKING OLD LOG FILES IF ANY
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pri_user.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pub_9674209814.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pub_manager.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pub_volunteer.bgp -1.0
2018.09.24.21.44.46, DEBUG Controller MISSING FILE START DOWNLOAD pri_manager.bgp -1.0
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, a7f2065975f503f2b13f092e315c4, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_6.diff, 1027, 1027.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 1a876cf070d23413ab9bfde57333b5b, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_87908085f1467d64.png, 0, 149422.0, 192.168.43.208
2018.09.24.21.44.57, START_FILE_DOWNLOAD, 7358f9c4a024948460697b83a84e6fc3, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_44ba374447c33b05.jpeg, 0, 238277.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 1612bbcabc28f359dce4ce1592cd49b2, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_5c2fb79f898e28a1.png, 88048, 88048.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, ff5ec05e72daaea1146196564d2270f9, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_9557a537ff8d5a60.png, 101100, 101100.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 99e9f2739e802222bf4415b7bd5245aa, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_88c9667e12783d92.png, 123246, 123246.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 9e78bd650d480d39939b3346165f53, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_23205e1fc2dd2e5e.png, 147688, 147688.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 1a876cf070d23413ab9bfde57333b5b, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_87908085f1467d64.png, 149422, 149422.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, 425c9debd1944f5944f7e80ab5b7998, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_e2ad8b65ca57a46.jpeg, 178069, 178069.0, 192.168.43.208
2018.09.24.21.44.57, STOP_FILE_DOWNLOAD, c7bc85a66b4d39714e31b6179c6f7d, 1a5b38d26c6829a459875f1dab80abfd_v9674209814_volunteer_50_2149ce1836d7f648.jpeg, 233815, 233815.0, 192.168.43.208
