2018.08.26.15.19.52, PEER_DISCOVERED, 9000000004, 192.168.43.197
2018.08.26.15.19.55, SUMMARY_VECTOR_RECEIVED, 50528
2018.08.26.15.19.58, PEER_DISCOVERED, 9000000001, 192.168.43.147
2018.08.26.15.20.00, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.00, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pskc_schema.xsd -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pub_9000000001.bgp -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pub_9000000004.bgp -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pub_volunteer.bgp -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pri_volunteer.bgp -1.0
2018.08.26.15.20.10, START_FILE_DOWNLOAD, 9833808b56cac7a4a7a5a359cb4334e8, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_505c8933333f81d6.png, 0, 517842.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, 1399fffb8b7057a0c674741344247a68, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_1.diff, 0, 219.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, 0d94ffc3bb69548bc4ee2e5803023, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_8.diff, 0, 1232.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, 3618c3631835a4b85e3a86229396e2c9, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_ab50440039125bb5.png, 0, 329303.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, ebb0991d61ccd6d064e9a63896e62acf, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_4.diff, 0, 727.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, 31522c3ee52029cd30756032cef1cf8d, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_7.diff, 0, 1151.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, e5fc965e165467d246fd84ec5599181, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_5.diff, 0, 800.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, 1399fffb8b7057a0c674741344247a68, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_1.diff, 219, 219.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, 0d94ffc3bb69548bc4ee2e5803023, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_8.diff, 1232, 1232.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, ebb0991d61ccd6d064e9a63896e62acf, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_4.diff, 727, 727.0, 192.168.43.197
